時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:05:17.741,1,82019B41,No Relay,80,186,2950
2023-05-16 16:05:17.944,1,82019C9E,No Relay,26,162,2980
2023-05-16 16:05:18.632,1,82019CFB,No Relay,61,141,2725
2023-05-16 16:05:19.335,1,8201A0FF,No Relay,17,156,3070
2023-05-16 16:05:20.257,1,82018DBB,No Relay,31,141,2950
2023-05-16 16:05:20.507,1,82019B41,No Relay,81,180,2950
2023-05-16 16:05:20.711,1,82019C9E,No Relay,27,159,2980
2023-05-16 16:05:21.320,1,82019CFB,No Relay,62,144,2725
2023-05-16 16:05:22.023,1,8201A0FF,No Relay,18,153,3080
2023-05-16 16:05:22.961,1,82018DBB,No Relay,32,147,2950
2023-05-16 16:05:23.179,1,82019C9E,No Relay,28,162,2980
2023-05-16 16:05:23.961,1,82019CFB,No Relay,63,162,2720
2023-05-16 16:05:24.461,1,8201A0FF,No Relay,19,153,3080
2023-05-16 16:05:25.445,1,82018DBB,No Relay,33,168,2940
2023-05-16 16:05:25.633,1,82019C9E,No Relay,29,147,2980
2023-05-16 16:05:26.602,1,82019CFB,No Relay,64,171,2725
2023-05-16 16:05:27.227,1,8201A0FF,No Relay,20,168,3080
2023-05-16 16:05:28.102,1,82019C9E,No Relay,30,126,2980
2023-05-16 16:05:28.290,1,82018DBB,No Relay,34,168,2960
2023-05-16 16:05:28.603,1,82019B41,No Relay,84,183,2950
2023-05-16 16:05:29.352,1,82019CFB,No Relay,65,159,2715
2023-05-16 16:05:31.150,1,82019B41,No Relay,85,183,2950
2023-05-16 16:05:32.134,1,82019CFB,No Relay,66,123,2720
2023-05-16 16:05:32.431,1,8201A0FF,No Relay,22,138,3070
2023-05-16 16:05:33.259,1,82019C9E,No Relay,32,162,2980
2023-05-16 16:05:33.822,1,82018DBB,No Relay,36,162,2950
2023-05-16 16:05:34.026,1,82019B41,No Relay,86,180,2950
2023-05-16 16:05:34.698,1,82019CFB,No Relay,67,153,2725
2023-05-16 16:05:35.260,1,8201A0FF,No Relay,23,156,3070
2023-05-16 16:05:36.088,1,82019C9E,No Relay,33,150,2980
2023-05-16 16:05:36.495,1,82018DBB,No Relay,37,162,2950
2023-05-16 16:05:36.682,1,82019B41,No Relay,87,183,2950
2023-05-16 16:05:37.135,1,82019CFB,No Relay,68,138,2720
2023-05-16 16:05:38.604,1,82019C9E,No Relay,34,132,2980
2023-05-16 16:05:39.057,1,82019B41,No Relay,88,192,2950
2023-05-16 16:05:39.292,1,82018DBB,No Relay,38,165,2950
2023-05-16 16:05:41.105,1,82019C9E,No Relay,35,135,2980
2023-05-16 16:05:41.495,1,82019B41,No Relay,89,183,2950
2023-05-16 16:05:42.699,1,8201A0FF,No Relay,26,150,3070
2023-05-16 16:05:43.543,1,82019C9E,No Relay,36,144,2980
2023-05-16 16:05:44.152,1,82019B41,No Relay,90,177,2950
2023-05-16 16:05:44.746,1,82018DBB,No Relay,40,156,2960
2023-05-16 16:05:45.105,1,82019CFB,No Relay,71,156,2715
2023-05-16 16:05:45.293,1,8201A0FF,No Relay,27,144,3070
2023-05-16 16:05:46.386,1,82019C9E,No Relay,37,147,2980
2023-05-16 16:05:46.590,1,82019B41,No Relay,91,177,2950
2023-05-16 16:05:47.199,1,82018DBB,No Relay,41,153,2940
2023-05-16 16:05:47.731,1,82019CFB,No Relay,72,150,2720
2023-05-16 16:05:49.012,1,82019C9E,No Relay,38,147,2980
2023-05-16 16:05:49.215,1,82019B41,No Relay,92,183,2950
2023-05-16 16:05:49.872,1,82018DBB,No Relay,42,153,2950
2023-05-16 16:05:50.403,1,8201A0FF,No Relay,29,153,3070
2023-05-16 16:05:51.747,1,82019C9E,No Relay,39,141,2980
2023-05-16 16:05:51.950,1,82019B41,No Relay,93,183,2950
2023-05-16 16:05:52.450,1,82018DBB,No Relay,43,153,2950
2023-05-16 16:05:52.669,1,82019CFB,No Relay,74,150,2720
2023-05-16 16:05:53.122,1,8201A0FF,No Relay,30,150,3080
2023-05-16 16:05:54.560,1,82019B41,No Relay,94,180,2960
2023-05-16 16:05:54.763,1,82019C9E,No Relay,40,153,2980
2023-05-16 16:05:55.294,1,82019CFB,No Relay,75,150,2720
2023-05-16 16:05:55.763,1,8201A0FF,No Relay,31,153,3070
2023-05-16 16:05:57.263,1,82019B41,No Relay,95,183,2950
2023-05-16 16:05:57.482,1,82018DBB,No Relay,45,162,2960
2023-05-16 16:05:58.498,1,8201A0FF,No Relay,32,153,3080
2023-05-16 16:06:00.045,1,82019B41,No Relay,96,183,2950
2023-05-16 16:06:00.248,1,82018DBB,No Relay,46,159,2950
2023-05-16 16:06:00.858,1,8201A0FF,No Relay,33,141,3070
2023-05-16 16:06:02.514,1,82019B41,No Relay,97,171,2950
2023-05-16 16:06:02.811,1,82019CFB,No Relay,78,156,2720
2023-05-16 16:06:03.014,1,82018DBB,No Relay,47,168,2950
2023-05-16 16:06:03.452,1,8201A0FF,No Relay,34,147,3080
2023-05-16 16:06:04.843,1,82019C9E,No Relay,44,156,2980
2023-05-16 16:06:05.280,1,82019CFB,No Relay,79,138,2715
2023-05-16 16:06:05.483,1,82018DBB,No Relay,48,159,2950
2023-05-16 16:06:06.124,1,8201A0FF,No Relay,35,147,3070
2023-05-16 16:06:07.640,1,82019CFB,No Relay,80,156,2705
2023-05-16 16:06:07.874,1,82018DBB,No Relay,49,162,2940
2023-05-16 16:06:08.093,1,82019B41,No Relay,99,183,2950
2023-05-16 16:06:08.859,1,8201A0FF,No Relay,36,150,3070
2023-05-16 16:06:10.312,1,82018DBB,No Relay,50,156,2950
2023-05-16 16:06:10.500,1,82019B41,No Relay,100,177,2950
2023-05-16 16:06:11.453,1,8201A0FF,No Relay,37,147,3070
2023-05-16 16:06:12.969,1,82019CFB,No Relay,82,156,2715
2023-05-16 16:06:13.188,1,82019B41,No Relay,101,177,2950
2023-05-16 16:06:15.235,1,82019C9E,No Relay,48,147,2990
2023-05-16 16:06:15.501,1,82018DBB,No Relay,52,159,2960
2023-05-16 16:06:15.813,1,82019B41,No Relay,102,180,2950
2023-05-16 16:06:17.610,1,82019C9E,No Relay,49,159,2980
2023-05-16 16:06:18.079,1,82018DBB,No Relay,53,156,2950
2023-05-16 16:06:18.454,1,82019CFB,No Relay,84,147,2715
2023-05-16 16:06:18.782,1,8201A0FF,No Relay,40,144,3070
2023-05-16 16:06:20.439,1,82019C9E,No Relay,50,150,2990
2023-05-16 16:06:20.986,1,82019B41,No Relay,104,177,2950
2023-05-16 16:06:21.174,1,82019CFB,No Relay,85,144,2715
2023-05-16 16:06:23.268,1,82019C9E,No Relay,51,147,2980
2023-05-16 16:06:23.534,1,82019CFB,No Relay,86,144,2720
2023-05-16 16:06:23.721,1,82018DBB,No Relay,55,156,2950
2023-05-16 16:06:23.909,1,82019B41,No Relay,105,171,2950
2023-05-16 16:06:25.722,1,82019C9E,No Relay,52,147,2980
2023-05-16 16:06:26.081,1,82018DBB,No Relay,56,168,2950
2023-05-16 16:06:26.300,1,82019CFB,No Relay,87,168,2710
2023-05-16 16:06:26.488,1,82019B41,No Relay,106,177,2950
2023-05-16 16:06:28.347,1,82019C9E,No Relay,53,141,2980
2023-05-16 16:06:28.832,1,82018DBB,No Relay,57,156,2940
2023-05-16 16:06:29.066,1,82019B41,No Relay,107,177,2950
2023-05-16 16:06:29.285,1,8201A0FF,No Relay,44,108,3070
2023-05-16 16:06:31.504,1,82018DBB,No Relay,58,159,2950
2023-05-16 16:06:31.707,1,82019CFB,No Relay,89,162,2715
2023-05-16 16:06:32.066,1,8201A0FF,No Relay,45,99,3070
2023-05-16 16:06:34.113,1,82019CFB,No Relay,90,159,2715
2023-05-16 16:06:34.879,1,8201A0FF,No Relay,46,93,3070
2023-05-16 16:06:36.301,1,82019C9E,No Relay,56,141,2990
2023-05-16 16:06:36.708,1,82018DBB,No Relay,60,159,2960
2023-05-16 16:06:36.911,1,82019CFB,No Relay,91,162,2715
2023-05-16 16:06:37.677,1,8201A0FF,No Relay,47,132,3070
2023-05-16 16:06:38.755,1,82019C9E,No Relay,57,138,2980
2023-05-16 16:06:39.489,1,82018DBB,No Relay,61,162,2950
2023-05-16 16:06:41.833,1,82019CFB,No Relay,93,168,2715
2023-05-16 16:06:42.302,1,82018DBB,No Relay,62,162,2950
2023-05-16 16:06:42.506,1,82019B41,No Relay,112,174,2940
2023-05-16 16:06:42.724,1,8201A0FF,No Relay,49,96,3070
2023-05-16 16:06:43.834,1,82019C9E,No Relay,59,141,2990
2023-05-16 16:06:44.193,1,82019CFB,No Relay,94,159,2715
2023-05-16 16:06:44.865,1,82018DBB,No Relay,63,162,2950
2023-05-16 16:06:45.084,1,82019B41,No Relay,113,180,2950
2023-05-16 16:06:45.271,1,8201A0FF,No Relay,50,132,3070
2023-05-16 16:06:46.678,1,82019C9E,No Relay,60,135,2980
2023-05-16 16:06:46.881,1,82019CFB,No Relay,95,168,2715
2023-05-16 16:06:47.428,1,82018DBB,No Relay,64,168,2950
2023-05-16 16:06:47.662,1,8201A0FF,No Relay,51,147,3070
2023-05-16 16:06:49.272,1,82019C9E,No Relay,61,141,2980
2023-05-16 16:06:49.475,1,82019CFB,No Relay,96,165,2715
2023-05-16 16:06:49.850,1,82018DBB,No Relay,65,168,2950
2023-05-16 16:06:50.085,1,8201A0FF,No Relay,52,144,3070
2023-05-16 16:06:50.381,1,82019B41,No Relay,115,183,2950
2023-05-16 16:06:51.835,1,82019C9E,No Relay,62,138,2980
2023-05-16 16:06:52.710,1,8201A0FF,No Relay,53,132,3070
2023-05-16 16:06:52.991,1,82019B41,No Relay,116,180,2950
2023-05-16 16:06:54.444,1,82019CFB,No Relay,98,168,2715
2023-05-16 16:06:54.648,1,82019C9E,No Relay,63,144,2980
2023-05-16 16:06:55.492,1,8201A0FF,No Relay,54,135,3070
2023-05-16 16:06:57.148,1,82019C9E,No Relay,64,147,2980
2023-05-16 16:06:57.336,1,82019CFB,No Relay,99,168,2715
2023-05-16 16:06:57.711,1,82018DBB,No Relay,68,168,2960
2023-05-16 16:06:57.961,1,8201A0FF,No Relay,55,132,3070
2023-05-16 16:06:58.352,1,82019B41,No Relay,118,180,2950
2023-05-16 16:06:59.836,1,82019C9E,No Relay,65,153,2980
2023-05-16 16:07:00.039,1,82019CFB,No Relay,100,168,2710
2023-05-16 16:07:00.414,1,82018DBB,No Relay,69,168,2950
2023-05-16 16:07:00.805,1,8201A0FF,No Relay,56,102,3070
2023-05-16 16:07:01.008,1,82019B41,No Relay,119,183,2950
2023-05-16 16:07:02.446,1,82019CFB,No Relay,101,165,2715
2023-05-16 16:07:02.884,1,82018DBB,No Relay,70,162,2950
2023-05-16 16:07:03.509,1,8201A0FF,No Relay,57,117,3070
2023-05-16 16:07:03.697,1,82019B41,No Relay,120,183,2950
2023-05-16 16:07:05.009,1,82019C9E,No Relay,67,147,2980
2023-05-16 16:07:05.212,1,82019CFB,No Relay,102,168,2715
2023-05-16 16:07:06.337,1,8201A0FF,No Relay,58,132,3070
2023-05-16 16:07:06.541,1,82019B41,No Relay,121,183,2950
2023-05-16 16:07:07.494,1,82019CFB,No Relay,103,168,2715
2023-05-16 16:07:07.697,1,82019C9E,No Relay,68,141,2980
2023-05-16 16:07:08.791,1,82019B41,No Relay,122,186,2950
2023-05-16 16:07:09.870,1,82019CFB,No Relay,104,168,2715
2023-05-16 16:07:10.245,1,82019C9E,No Relay,69,141,2980
2023-05-16 16:07:10.526,1,82018DBB,No Relay,73,168,2950
2023-05-16 16:07:11.542,1,82019B41,No Relay,123,186,2950
2023-05-16 16:07:11.823,1,8201A0FF,No Relay,60,123,3070
2023-05-16 16:07:12.964,1,82019C9E,No Relay,70,138,2980
2023-05-16 16:07:13.167,1,82018DBB,No Relay,74,171,2950
2023-05-16 16:07:14.589,1,8201A0FF,No Relay,61,141,3070
2023-05-16 16:07:15.136,1,82019CFB,No Relay,106,168,2715
2023-05-16 16:07:15.480,1,82018DBB,No Relay,75,168,2950
2023-05-16 16:07:15.714,1,82019C9E,No Relay,71,138,2980
2023-05-16 16:07:16.777,1,82019B41,No Relay,125,183,2950
2023-05-16 16:07:18.230,1,82018DBB,No Relay,76,168,2950
2023-05-16 16:07:18.496,1,82019C9E,No Relay,72,138,2980
2023-05-16 16:07:19.777,1,8201A0FF,No Relay,63,138,3070
2023-05-16 16:07:20.371,1,82019CFB,No Relay,108,162,2715
2023-05-16 16:07:22.387,1,82019B41,No Relay,127,186,2950
2023-05-16 16:07:22.575,1,8201A0FF,No Relay,64,141,3070
2023-05-16 16:07:23.059,1,82018DBB,No Relay,78,168,2950
2023-05-16 16:07:23.262,1,82019CFB,No Relay,109,162,2715
2023-05-16 16:07:23.465,1,82019C9E,No Relay,74,141,2980
2023-05-16 16:07:24.966,1,8201A0FF,No Relay,65,117,3080
2023-05-16 16:07:25.497,1,82018DBB,No Relay,79,165,2960
2023-05-16 16:07:26.044,1,82019CFB,No Relay,110,162,2710
2023-05-16 16:07:27.685,1,8201A0FF,No Relay,66,135,3070
2023-05-16 16:07:28.153,1,82018DBB,No Relay,80,168,2950
2023-05-16 16:07:28.701,1,82019C9E,No Relay,76,147,2980
2023-05-16 16:07:28.888,1,82019CFB,No Relay,111,168,2715
2023-05-16 16:07:30.466,1,8201A0FF,No Relay,67,138,3080
2023-05-16 16:07:30.670,1,82019B41,No Relay,130,183,2950
2023-05-16 16:07:30.904,1,82018DBB,No Relay,81,168,2950
2023-05-16 16:07:31.294,1,82019C9E,No Relay,77,138,2980
2023-05-16 16:07:31.483,1,82019CFB,No Relay,112,162,2715
2023-05-16 16:07:33.014,1,82019B41,No Relay,131,186,2950
2023-05-16 16:07:33.686,1,82019C9E,No Relay,78,141,2980
2023-05-16 16:07:33.873,1,82019CFB,No Relay,113,162,2715
2023-05-16 16:07:34.092,1,82018DBB,No Relay,82,168,2940
2023-05-16 16:07:35.530,1,82019B41,No Relay,132,186,2950
2023-05-16 16:07:36.092,1,8201A0FF,No Relay,69,135,3070
2023-05-16 16:07:36.295,1,82018DBB,No Relay,83,168,2950
2023-05-16 16:07:36.483,1,82019CFB,No Relay,114,162,2715
2023-05-16 16:07:38.202,1,82019B41,No Relay,133,186,2950
2023-05-16 16:07:38.733,1,82018DBB,No Relay,84,168,2950
2023-05-16 16:07:38.952,1,8201A0FF,No Relay,70,132,3070
2023-05-16 16:07:39.140,1,82019CFB,No Relay,115,162,2715
2023-05-16 16:07:40.874,1,82019B41,No Relay,134,186,2950
2023-05-16 16:07:41.312,1,8201A0FF,No Relay,71,138,3070
2023-05-16 16:07:41.500,1,82018DBB,No Relay,85,168,2960
2023-05-16 16:07:43.937,1,82019CFB,No Relay,117,168,2705
2023-05-16 16:07:44.125,1,8201A0FF,No Relay,72,123,3070
2023-05-16 16:07:44.328,1,82018DBB,No Relay,86,162,2950
2023-05-16 16:07:44.516,1,82019C9E,No Relay,82,147,2990
2023-05-16 16:07:46.375,1,82019B41,No Relay,136,183,2950
2023-05-16 16:07:46.688,1,8201A0FF,No Relay,73,123,3070
2023-05-16 16:07:46.875,1,82018DBB,No Relay,87,168,2940
2023-05-16 16:07:47.172,1,82019C9E,No Relay,83,141,2980
