20230810_15:14:13.101,82019F2E,4307,213
20230810_15:14:13.102,82019EBA,4384,204
20230810_15:14:13.104,820198C1,276,204
20230810_15:14:13.108,82019F2E,4308,213
20230810_15:14:13.110,82019EBA,4385,204
20230810_15:14:13.114,82019F2E,4309,213
20230810_15:14:13.115,82019EBA,4386,204
20230810_15:14:13.117,82019F2E,4310,213
20230810_15:14:13.119,82019EBA,4387,204
20230810_15:14:13.120,82019F2E,4311,213
20230810_15:14:13.124,82019F2E,4312,213
20230810_15:14:13.126,820198C1,281,204
20230810_15:14:13.128,82019F2E,4313,213
20230810_15:14:13.130,820198C1,282,204
20230810_15:14:13.133,820198C1,283,204
20230810_15:14:13.135,82019EBA,4391,204
20230810_15:14:13.137,82019F2E,4315,213
20230810_15:14:13.140,820198C1,284,204
20230810_15:14:13.750,82019EBA,4392,204
20230810_15:14:13.751,82019F2E,4316,213
20230810_15:14:13.753,820198C1,285,204
20230810_15:14:13.754,82019EBA,4393,204
20230810_15:14:13.757,82019F2E,4317,213
