time,pino,tagid
2022-10-08 12:16:40,2.0,82019BF6
2022-10-08 12:16:40,3.0,8201A32E
2022-10-08 12:16:40,4.0,8201A1B6
2022-10-08 12:16:40,5.0,82019B41
2022-10-08 12:16:40,2.0,82019F0C
2022-10-08 12:16:40,5.0,82019CFB
2022-10-08 12:16:40,1.0,82019572
2022-10-08 12:16:40,3.0,82019C9E
2022-10-08 12:16:40,5.0,82019A5C
2022-10-08 12:16:40,2.0,82019C19
2022-10-08 12:16:40,1.0,82019F4E
2022-10-08 12:16:40,1.0,82019A29
2022-10-08 12:16:40,2.0,82019BEC
2022-10-08 12:16:42,4.0,8201A1C7
2022-10-08 12:16:42,5.0,82019A5C
2022-10-08 12:16:42,4.0,8201A1B6
2022-10-08 12:16:42,5.0,82019B41
2022-10-08 12:16:42,3.0,8201A32E
2022-10-08 12:16:42,2.0,82019BF6
2022-10-08 12:16:42,1.0,82019A29
2022-10-08 12:16:42,1.0,82019F4E
2022-10-08 12:16:42,2.0,82019BEC
2022-10-08 12:16:42,5.0,82019CFB
2022-10-08 12:16:42,3.0,82019B2F
2022-10-08 12:16:42,3.0,820198D4
2022-10-08 12:16:42,2.0,8201A30D
2022-10-08 12:16:42,2.0,82019C19
2022-10-08 12:16:42,3.0,82019E4E
2022-10-08 12:16:42,3.0,82019C9E
2022-10-08 12:16:42,4.0,82018F34
2022-10-08 12:16:42,2.0,82019F0C
2022-10-08 12:16:42,1.0,82019572
2022-10-08 12:16:44,5.0,82019CFB
2022-10-08 12:16:44,5.0,82019B41
2022-10-08 12:16:44,2.0,82019F0C
2022-10-08 12:16:44,1.0,82019572
2022-10-08 12:16:44,2.0,82019BF6
2022-10-08 12:16:44,2.0,82019BEC
2022-10-08 12:16:44,3.0,82019E4E
2022-10-08 12:16:44,2.0,8201A30D
2022-10-08 12:16:44,2.0,82019C19
2022-10-08 12:16:44,3.0,8201A32E
2022-10-08 12:16:44,5.0,82019A5C
2022-10-08 12:16:44,1.0,82019F4E
2022-10-08 12:16:44,4.0,8201A1B6
2022-10-08 12:16:44,4.0,8201A1C7
2022-10-08 12:16:44,4.0,82018F34
2022-10-08 12:16:44,3.0,82019C9E
2022-10-08 12:16:44,3.0,82019B2F
2022-10-08 12:16:44,3.0,820198D4
2022-10-08 12:16:44,1.0,82019A29
2022-10-08 12:16:46,5.0,82019CFB
2022-10-08 12:16:46,2.0,8201A30D
2022-10-08 12:16:46,4.0,82018F34
2022-10-08 12:16:46,4.0,8201A1C7
2022-10-08 12:16:46,2.0,82019B2F
2022-10-08 12:16:46,2.0,82019BF6
2022-10-08 12:16:46,3.0,82019C19
2022-10-08 12:16:46,3.0,82019E4E
2022-10-08 12:16:46,3.0,820198D4
2022-10-08 12:16:46,2.0,82019BEC
2022-10-08 12:16:46,1.0,82019F4E
2022-10-08 12:16:46,3.0,82019C9E
2022-10-08 12:16:46,4.0,8201A1B6
2022-10-08 12:16:46,5.0,82019B41
2022-10-08 12:16:46,5.0,82019A5C
2022-10-08 12:16:46,3.0,8201A32E
2022-10-08 12:16:46,2.0,82019F0C
2022-10-08 12:16:46,1.0,82019A29
2022-10-08 12:16:46,1.0,82019572
2022-10-08 12:16:48,4.0,82019572
2022-10-08 12:16:48,3.0,82019C19
2022-10-08 12:16:48,2.0,82019B2F
2022-10-08 12:16:48,1.0,82019A29
2022-10-08 12:16:48,5.0,82019CFB
2022-10-08 12:16:48,1.0,82019F4E
2022-10-08 12:16:48,2.0,82019BEC
2022-10-08 12:16:48,3.0,82019E4E
2022-10-08 12:16:48,2.0,82019F0C
2022-10-08 12:16:48,4.0,82018F34
2022-10-08 12:16:48,3.0,820198D4
2022-10-08 12:16:48,5.0,82019A5C
2022-10-08 12:16:48,2.0,82019BF6
2022-10-08 12:16:48,2.0,8201A30D
2022-10-08 12:16:48,3.0,82019C9E
2022-10-08 12:16:48,4.0,8201A1C7
2022-10-08 12:16:48,5.0,82019B41
2022-10-08 12:16:48,4.0,8201A1B6
2022-10-08 12:16:48,3.0,8201A32E
2022-10-08 12:16:50,3.0,82019C9E
2022-10-08 12:16:50,2.0,82019B2F
2022-10-08 12:16:50,2.0,82019BF6
2022-10-08 12:16:50,5.0,82019B41
2022-10-08 12:16:50,3.0,82019C19
2022-10-08 12:16:50,4.0,8201A1B6
2022-10-08 12:16:50,1.0,82019A29
2022-10-08 12:16:50,5.0,82019A5C
2022-10-08 12:16:50,1.0,82019F4E
2022-10-08 12:16:50,4.0,8201A1C7
2022-10-08 12:16:50,5.0,82019CFB
2022-10-08 12:16:50,3.0,8201A32E
2022-10-08 12:16:50,2.0,82019BEC
2022-10-08 12:16:50,3.0,82019E4E
2022-10-08 12:16:50,4.0,82018F34
2022-10-08 12:16:50,2.0,82019F0C
2022-10-08 12:16:50,2.0,8201A30D
2022-10-08 12:16:50,3.0,820198D4
2022-10-08 12:16:50,4.0,82019572
2022-10-08 12:16:52,2.0,82019F0C
2022-10-08 12:16:52,3.0,820198D4
2022-10-08 12:16:52,4.0,8201A1B6
2022-10-08 12:16:52,2.0,82019BEC
2022-10-08 12:16:52,4.0,82019F4E
2022-10-08 12:16:52,4.0,82019572
2022-10-08 12:16:52,3.0,82019B2F
2022-10-08 12:16:52,5.0,82019A5C
2022-10-08 12:16:52,3.0,82019E4E
2022-10-08 12:16:52,2.0,82019BF6
2022-10-08 12:16:52,5.0,82019B41
2022-10-08 12:16:52,4.0,8201A1C7
2022-10-08 12:16:52,3.0,82019C19
2022-10-08 12:16:52,3.0,82019C9E
2022-10-08 12:16:52,1.0,82019A29
2022-10-08 12:16:52,5.0,82019CFB
2022-10-08 12:16:52,3.0,8201A32E
2022-10-08 12:16:52,1.0,82018F34
2022-10-08 12:16:52,2.0,8201A30D
2022-10-08 12:16:54,5.0,82019A5C
2022-10-08 12:16:54,5.0,82019B41
2022-10-08 12:16:54,4.0,8201A1C7
2022-10-08 12:16:54,2.0,8201A30D
2022-10-08 12:16:54,2.0,82019BEC
2022-10-08 12:16:54,4.0,82019F4E
2022-10-08 12:16:54,4.0,82019572
2022-10-08 12:16:54,5.0,82019F0C
2022-10-08 12:16:54,3.0,82019E4E
2022-10-08 12:16:54,4.0,8201A1B6
2022-10-08 12:16:54,2.0,82019BF6
2022-10-08 12:16:54,3.0,82019B2F
2022-10-08 12:16:54,3.0,820198D4
2022-10-08 12:16:54,3.0,82019C19
2022-10-08 12:16:54,1.0,82019A29
2022-10-08 12:16:54,3.0,82019C9E
2022-10-08 12:16:54,5.0,82019CFB
2022-10-08 12:16:54,1.0,82018F34
2022-10-08 12:16:54,3.0,8201A32E
2022-10-08 12:16:56,4.0,8201A1C7
2022-10-08 12:16:56,4.0,82019572
2022-10-08 12:16:56,1.0,82018F34
2022-10-08 12:16:56,3.0,82019C9E
2022-10-08 12:16:56,4.0,82019F4E
2022-10-08 12:16:56,1.0,82019A29
2022-10-08 12:16:56,5.0,82019A5C
2022-10-08 12:16:56,3.0,82019B2F
2022-10-08 12:16:56,5.0,82019F0C
2022-10-08 12:16:56,4.0,8201A1B6
2022-10-08 12:16:56,2.0,82019BF6
2022-10-08 12:16:56,3.0,82019E4E
2022-10-08 12:16:56,5.0,82019B41
2022-10-08 12:16:56,3.0,82019C19
2022-10-08 12:16:56,5.0,82019CFB
2022-10-08 12:16:56,2.0,82019BEC
2022-10-08 12:16:56,3.0,820198D4
2022-10-08 12:16:56,2.0,8201A30D
2022-10-08 12:16:56,3.0,8201A32E
2022-10-08 12:16:58,3.0,82019E4E
2022-10-08 12:16:58,1.0,82019F0C
2022-10-08 12:16:58,5.0,82019A5C
2022-10-08 12:16:58,3.0,82019C9E
2022-10-08 12:16:58,3.0,820198D4
2022-10-08 12:16:58,3.0,82019B2F
2022-10-08 12:16:58,4.0,8201A1B6
2022-10-08 12:16:58,2.0,8201A30D
2022-10-08 12:16:58,5.0,82019CFB
2022-10-08 12:16:58,2.0,82019BEC
2022-10-08 12:16:58,3.0,8201A32E
2022-10-08 12:16:58,1.0,82019A29
2022-10-08 12:16:58,4.0,82019F4E
2022-10-08 12:16:58,2.0,82019BF6
2022-10-08 12:16:58,1.0,82018F34
2022-10-08 12:16:58,3.0,82019C19
2022-10-08 12:16:58,5.0,82019B41
2022-10-08 12:16:58,4.0,82019572
2022-10-08 12:16:58,4.0,8201A1C7
2022-10-08 12:17:00,5.0,82019A5C
2022-10-08 12:17:00,3.0,82019C9E
2022-10-08 12:17:00,2.0,82019BEC
2022-10-08 12:17:00,2.0,8201A30D
2022-10-08 12:17:00,3.0,8201A32E
2022-10-08 12:17:00,3.0,82019B2F
2022-10-08 12:17:00,4.0,82019572
