時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:53:16.859,1,82019EFE,No Relay,57,75,3150,2
2022/10/08 10:53:16.868,1,82019EFE,No Relay,57,102,3150,3
2022/10/08 10:53:16.884,1,82019EFE,No Relay,57,126,3150,5
2022/10/08 10:53:19.512,1,82019EFE,No Relay,58,87,3150,2
2022/10/08 10:53:19.521,1,82019EFE,No Relay,58,99,3150,3
2022/10/08 10:53:19.522,1,82019EFE,No Relay,58,123,3150,5
2022/10/08 10:53:21.258,1,820198E4,No Relay,57,105,3150,3
2022/10/08 10:53:21.264,1,820198E4,No Relay,57,93,3150,2
2022/10/08 10:53:21.279,1,820198E4,No Relay,57,144,3150,5
2022/10/08 10:53:22.277,1,82019EFE,No Relay,59,69,3150,2
2022/10/08 10:53:22.286,1,82019EFE,No Relay,59,90,3150,3
2022/10/08 10:53:22.300,1,82019EFE,No Relay,59,126,3150,5
2022/10/08 10:53:23.863,1,820198E4,No Relay,58,93,3140,3
2022/10/08 10:53:23.871,1,820198E4,No Relay,58,138,3140,5
2022/10/08 10:53:24.882,1,82019EFE,No Relay,60,66,3150,2
2022/10/08 10:53:24.892,1,82019EFE,No Relay,60,93,3150,3
2022/10/08 10:53:24.904,1,82019EFE,No Relay,60,129,3150,5
2022/10/08 10:53:26.338,1,820198E4,No Relay,59,105,3140,3
2022/10/08 10:53:26.347,1,820198E4,No Relay,59,141,3140,5
2022/10/08 10:53:27.451,1,82019EFE,No Relay,61,102,3150,3
2022/10/08 10:53:27.454,1,82019EFE,No Relay,61,87,3150,2
2022/10/08 10:53:27.462,1,82019EFE,No Relay,61,126,3150,5
2022/10/08 10:53:29.094,1,820198E4,No Relay,60,141,3140,5
2022/10/08 10:53:29.913,1,82019EFE,No Relay,62,96,3150,3
2022/10/08 10:53:29.916,1,82019EFE,No Relay,62,81,3150,2
2022/10/08 10:53:29.922,1,82019EFE,No Relay,62,132,3150,5
2022/10/08 10:53:31.812,1,820198E4,No Relay,61,96,3140,2
2022/10/08 10:53:31.828,1,820198E4,No Relay,61,141,3140,5
2022/10/08 10:53:32.601,1,82019EFE,No Relay,63,108,3150,2
2022/10/08 10:53:32.612,1,82019EFE,No Relay,63,96,3150,3
2022/10/08 10:53:32.621,1,82019EFE,No Relay,63,123,3150,5
2022/10/08 10:53:34.575,1,820198E4,No Relay,62,84,3140,2
2022/10/08 10:53:34.578,1,820198E4,No Relay,62,135,3140,5
2022/10/08 10:53:35.047,1,82019EFE,No Relay,64,96,3150,2
2022/10/08 10:53:35.058,1,82019EFE,No Relay,64,102,3150,3
